5-НОК  таб. п/обол. 50мг №50
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОФАЖ  таб. п/обол. 0,85 №60
ГЛЮКОФАЖ  таб. п/обол. 0,85 №60
ГЛЮКОФАЖ  таб. п/обол. 0,85 №60
ГЛЮКОФАЖ  таб. п/обол. 1000мг №60
ГЛЮКОФАЖ  тб. 0,5 №60
ГЛЮКОФАЖ  тб. 0,5 №60
ГЛЮКОФАЖ  тб. 0,5 №60
ГЛЮКОФАЖ  тб. 0,5 №60
ГЛЮКОФАЖ  тб. 0,5 №60
Головка CoCr модульная (Biomet orthopedics, США)  
Головка металлическая  
Головодержатель protect Collar soft with bar  
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГОРДОКС  амп. 100тЕД 10мл №25
ГРАНДАКСИН  таб. 50мг №60
ГРАНДАКСИН  таб. 50мг №60
ГРАНДАКСИН  таб. 50мг №60
ГУБКА ГЕМОСТАТИЧЕСКАЯ  5см*5см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  5см*5см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  5см*5см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  5см*5см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ГУБКА ГЕМОСТАТИЧЕСКАЯ  9см*9см
ДАКАРБАЗИН-ЛЭНС  пор. д/ин. фл.  200мг №1
ДЕ-НОЛ  таб. 120мг  №112
ДЕ-НОЛ  таб. 120мг  №112
ДЕ-НОЛ  таб. 120мг  №112
ДЕ-НОЛ  таб. 120мг  №112
ДЕ-НОЛ  таб. 120мг  №112
ДЕКСАЛГИН  амп.25мг/мл 2мл №5
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕД  амп. 4мг/мл 2мл №100
ДЕКСАМЕТАЗОН  капли гл. фл.-кап. 1мг/мл 10мл
ДЕКСАМЕТАЗОН  таб. 0.5мг №10
ДЕКСАМЕТАЗОН  таб. 0.5мг №10
ДЕКСАМЕТАЗОН  таб. 0.5мг №10
ДЕПАКИН  лиоф. д/ин. в/в 400мг 4мл №4
ДЕПАКИН ХРОНО **  таб. п/обол. 300мг №100
ДЕПАКИН ХРОНО **  таб. п/обол. 500мг №30
ДЕРИНАТ*  р-р 0,25%-10мл 
ДЕРИНАТ*  р-р 0,25%-10мл 
ДЕТРАЛЕКС  таб. 1г №60
ДЕТРАЛЕКС  таб. 1г №60
ДЕТРАЛЕКС  таб. п/обол. №60
ДЕТРАЛЕКС  таб. п/обол. №60
ДЕТРАЛЕКС  таб. п/обол. №60
ДЕТРАЛЕКС  таб. п/обол. №60
ДИАБЕТОН МВ  таб. 60мг №30
ДИАЗОЛИН  драже. 100мг №10
ДИАКАРБ **  таб. 250мг №30
ДИАКАРБ **  таб. 250мг №30
ДИАКАРБ **  таб. 250мг №30
ДИАКАРБ **  таб. 250мг №30
ДИБАЗОЛ  амп. 1% 1мл №10
ДИБАЗОЛ  амп. 1% 1мл №10
ДИБАЗОЛ  амп. 1% 1мл №10
ДИБАЗОЛ  амп. 1% 1мл №10
ДИБАЗОЛ  амп. 1% 1мл №10
ДИБАЗОЛ  амп. 1% 1мл №10
ДИВИГЕЛЬ  0,1% 1,0 №28 пак
ДИГОКСИН  амп. 0,025% 1мл №10
ДИГОКСИН  амп. 0,025% 1мл №10
ДИГОКСИН  амп. 0,025% 1мл №10
ДИГОКСИН  таб. 0.25мг № 30
ДИГОКСИН  таб. 0.25мг № 30
ДИГОКСИН  таб. 0.25мг № 50
ДИКЛОФЕНАК  1%-30,0 мазь
ДИКЛОФЕНАК  1%-30,0 мазь
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  25мг\мл 3мл №5
ДИКЛОФЕНАК  супп. 100мг №10
ДИКЛОФЕНАК  супп. 100мг №10
ДИКЛОФЕНАК-АКОС  амп. 75мг 3мл № 5
ДИЛТИАЗЕМ  таб. 60мг №30
ДИЛТИАЗЕМ  таб. 90мг №30
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИМЕДРОЛ  амп. 1% 1мл №10
ДИОВАН  таб.0,08 №28
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРИВАН  эмульсия амп. 10мг/мл 20мл №5
ДИПРОСПАН  амп. 1мл №1
ДИПРОСПАН  амп. 1мл №1
ДИПРОСПАН  амп. 1мл №1
ДИПРОСПАН  амп. 1мл №1
ДИПРОСПАН  амп. 1мл №1
ДИПРОСПАН  амп. 1мл №1
ДИРОТОН  таб. 10мг №28
ДИСКУС Композитум  2,2мл №5
ДИУВЕР  таб. 5мг № 60
ДИУВЕР  таб. 5мг № 60
ДИУВЕР  тб 10мг №60
ДИФЛЮКАН  фл. 2мг/мл 100мл
ДИФЛЮКАН  фл. 2мг/мл 100мл
ДИФЛЮКАН  фл. 2мг/мл 100мл
ДОКСИЦИКЛИНА Г/Х  капс. 100мг №10
ДОКСОРУБИЦИН   фл. 50мг
ДОЛОБЕНЕ  гель 50 г
ДОНОРМИЛ  таб. п/обол. 15мг №30
ДОФАМИН-ФЕРЕЙН  амп. 4% 5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДОФАМИН-ФЕРЕЙН  амп. 4%-5мл №10
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОПЕРИДОЛ  фл. 2.5мг/мл  5мл №5
ДРОТАВЕРИН   ** тб. 40мг №50
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДРОТАВЕРИНА Г/Х  2%-2мл №10
ДЮРОГЕЗИК  пластырь 25 мкг/час №5
ДЮСПАТАЛИН  капс. ретард 200мг №30
ДЮСПАТАЛИН  капс. ретард 200мг №30
ДЮСПАТАЛИН  капс. ретард 200мг №30
ДЮФАЛАК  сироп 200мл
ДЮФАЛАК  сироп 200мл
ДЮФАЛАК  сироп 200мл
ДЮФАЛАК  сироп 200мл
ДЮФАЛАК  сироп 200мл
ДЮФАЛАК  сироп 200мл
ДЮФАСТОН  таб. 10мг №20
ЗАНТАК  амп. 2.5% 2мл №5
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗИВОКС  раст.д/ин.2мг/мл-300мл №10
ЗОМЕТА  пор. 4мг+р-ль 5мл №1
ЗОФРАН  амп. 2мг/мл 4мл №5
ЗОФРАН  амп. 2мг/мл 4мл №5
ЗОФРАН  амп. 2мг/мл 4мл №5
ИБУПРОФЕН **  400мг таб.п/об №20
ИБУПРОФЕН **  400мг таб.п/об №20
ИЗОКЕТ  д/инф. 0,1%-10мл №10
ИЛОМЕДИН  20мкг/мл 1мл №5
"Имплантат межостистый ROMEO 2 PAD (высота от 8мм до 18мм с шагом 2мм), ""Spineart "" Швейцария  "
"Имплантат межпозвонковый Scarlet AC-T, ""Spineart "" Швейцария  "
Имплантаты хирургические LE FORTE SYSTEM с инструментами для их установки:Пластина. Корея  
ИНВАНЗ  фл. 1,0
ИНВАНЗ  фл. 1,0
ИНВАНЗ  фл. 1,0
ИНГАЛИПТ  аэр. 30мл
ИНДАПАМИД **  таб. п/обол. 2.5мг №30
ИНДАПАМИД **  таб. п/обол. 2.5мг №30
ИНДАПАМИД **  таб. п/обол.1,5мг №30
ИНДАПАМИД **  таб. п/обол.1,5мг №30
ИНДОВАЗИН  гель. 45г
ИНДОМЕТАЦИН  ** мазь 10% 40г
ИНДОЦИАНИН ЗЕЛЕНЫЙ-ПУЛЬСИОН  лиоф. в/в 25мг №5
ИНСПРА  таб. п/обол.  25мг № 30
ИНСУМАН РАПИД  фл. 100МЕ/мл 5мл №5
ИПИГРИКС  15мг/мл 1мл амп №10
ИПИГРИКС  15мг/мл 1мл амп №10
ИПИГРИКС  15мг/мл 1мл амп №10
ИРИНОТЕКАН  20мг/мл 2мл №1
ИРС 19  аэр. 20мл 60доз
ЙОД  фл. 5% 10мл
ЙОД **  фл. 5% 25мл
ЙОД **  фл. 5% 25мл
ЙОДИНОЛ  фл. 100мл
ЙОДИНОЛ  фл. 100мл
К/И AMR-01-01-0019 №130 капс.  
К/И AMR-01-01-0019 №130 капс.  
К/И AMR-01-01-0019 №130 капс.  
К/И AMR-01-01-0019 №130 капс.  
К/И AMR-01-01-0019 №130 капс.  
К/И AMR-01-01-0019 №130 капс.  
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И CFTY720 0,5 мг  №35
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И метотрексат 2,5мг, тофацитиниб 11 мг, плацебо   
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И ПАНАДОЛ ЭДВАНС  
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
К/И трамадол 44мг+ целекоксиб 56мг или  трамадол 66мг+ целекоксиб 84мг или плацебо ИЛИ 50мг трамадола МR3085  уп.
КАГОЦЕЛ **  тб. 12 мг №10
КАГОЦЕЛ **  тб. 12 мг №10
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 250мл
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 250мл
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 500мл
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 500мл
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 500мл
КАЛИЯ И МАГНИЯ АСПАРАГИНАТ  фл. 500мл
КАЛИЯ ЙОДИД 100мкг таб.  100мкг №100
КАЛИЯ ЙОДИД 100мкг таб.  100мкг №100
КАЛИЯ ХЛОРИД  40мг/мл р-р д/инф 100мл
КАЛИЯ ХЛОРИД  40мг/мл р-р д/инф 100мл
КАЛИЯ ХЛОРИД  40мг/мл р-р д/инф 100мл
КАЛИЯ ХЛОРИД  40мг/мл р-р д/инф 100мл
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛИЯ ХЛОРИД  амп. 4% 10мл №10
КАЛЬЦИЙ Д3  тб. 0,5 №50 апельсин
КАЛЬЦИЙ-Д3 НИКОМЕД ФОРТЕ  тб. №120 лимон
КАЛЬЦИУМФОЛИНАТ-Эбеве  30мг 3мл №5
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ГЛЮКОНАТ  100мг/мл 10мл №20
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАЛЬЦИЯ ХЛОРИД  амп. 10% 10мл №10
КАМФОРНЫЙ СПИРТ **  10%-40мл
КАМФОРНЫЙ СПИРТ **  10%-40мл
КАМФОРНЫЙ СПИРТ **  10%-40мл
КАМФОРНЫЙ СПИРТ **  10%-40мл
КАНДИБИОТИК  кап.ушн. 5мл 
КАНЕФРОН  драже №60
КАНЕФРОН  Н ** др. №60
КАПОТЕН **  таб. 25мг №40
КАПОТЕН **  таб. 25мг №40
КАПОТЕН **  таб. 25мг №40
КАПОТЕН **  таб. 25мг №40
КАПОТЕН **  таб. 25мг №40
КАПОТЕН **  таб. 25мг №40
КАРБОПЛАТИН-Тева  150мг №1
КАРБОПЛАТИН-Тева  450мг №1
КАРБОПЛАТИН-Тева  450мг №1
КАРВЕДИЛОЛ  таб. 12.5мг №30
КАРВЕДИЛОЛ  таб. 12.5мг №30
КАРДИКЕТ  таб. ретард 20мг №50
КАРДИКЕТ  таб. ретард 40мг №50
КАРДИКЕТ  таб. ретард 40мг №50
КАРДИКЕТ  таб. ретард 40мг №50
КАРДИОМАГНИЛ **  таб. п/обол.  75мг + 15мг №100
КАРДИОМАГНИЛ **  таб. п/обол.  75мг + 15мг №100
КАРДИОМАГНИЛ **  таб. п/обол. 150мг + 30мг №100
КАРДИОМАГНИЛ **  таб. п/обол. 150мг + 30мг №100
КАРДИОНАТ  100 мг/мл 5мл №10
КАРДИОНАТ  100 мг/мл 5мл №10
КАРДИОНАТ  100 мг/мл 5мл №10
КАРДИОНАТ  100 мг/мл 5мл №10
КАРДИОНАТ  100 мг/мл 5мл №10
КАРДУРА  таб. 4мг №30
КАРСИЛ  драже. 35мг №80
КАТАДОЛОН  капс. 100мг №30
КАТАДОЛОН  капс. 100мг №30
КАТАДОЛОН  капс. 100мг №30
КАТАДОЛОН  форте тб прол 400мг №14
КАТЕДЖЕЛЬ  гель 12,5 г шприц
КАТЕДЖЕЛЬ  гель 12,5 г шприц
"Катетер (K-JETS-7019-SIVF: катетер  проводниковый 6,6Fr 17.3cм; катетер для переноса 2,8Fr, 24см) №1  "
КВАМАТЕЛ  лиоф. д/ин. фл. 20мг №5
КВАМАТЕЛ  таб. п/обол. 20мг №28
КВАМАТЕЛ  таб. п/обол. 20мг №28
КВАМАТЕЛ  таб. п/обол. 20мг №28
КЕТАМИН  амп. 5% 2 мл
КЕТАМИН  амп. 5% 2 мл
КЕТАНОВ  ** тб 10мг №100
КЕТАНОВ  амп.30мг/мл-1,0 №10
КЕТАНОВ  тб по 10мг №20
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  50мг/мл 2мл №50
КЕТОНАЛ  капс. 50мг №25
КЕТОНАЛ  капс. 50мг №25
КЕТОНАЛ  крем 5%-30гр.
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  св. 100мг №12
КЕТОНАЛ  супп. рект. 100мг №12
КЕТОНАЛ  супп. рект. 100мг №12
КЕТОНАЛ  таб. п/обол. 100мг №20
КЕТОНАЛ  таб. п/обол. 100мг №20
КЕТОНАЛ  таб. ретард 150мг №20
КЕТОНАЛ  таб. ретард 150мг №20
КЕТОНАЛ  таб. ретард 150мг №20
КЕТОПРОФЕН  амп.50мг/мл-2,0 №10
КЕТОРОЛ  30мг/мл 1мл №10 в/в, в/м
КЕТОРОЛ  тб 0,01 №20 
КЕТОРОЛ  тб 0,01 №20 
КИТРИЛ  амп. 3мг/3мл №5
КЛАРИТИН  таб. 10мг №30
КЛАЦИД  пор. 500мг
КЛАЦИД  пор. 500мг
Клеенка подкладная  1п.м.
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 20мг\0,2мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 40мг\0,4мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛЕКСАН  шприц 80мг\0,8мл №10
КЛОТРИМАЗОЛ  крем. 1% 20г
КЛОТРИМАЗОЛ  крем. 1% 20г
КЛОТРИМАЗОЛ  крем. 1% 20г
КЛОФЕЛИН  амп. 0,01% 1мл №10
КО-РЕНИТЕК  тб. 20/0,125 №28
КО-РЕНИТЕК  тб. 20/0,125 №28
КОЛДРЕКС ХОТРЕМ ЛИМОН+МЕД  №10
КОМПЛИГАМ В *  в/м 2мл №10
КОМПЛИГАМ В *  в/м 2мл №10
КОМПЛИГАМ В *  в/м 2мл №10
Компонент бедренный НексДжен LPS/CR  
Компонент бедренный НексДжен LPS/CR  
"Компонент вертлужный ""Трилоджи""  "
Компонент Тибиальный НексДжен, гладкий  
Компонент Тибиальный НексДжен, гладкий  
КОНВУЛЕКС  р-р д в/в 100мг/мл 5мл №5
КОНВУЛЕКС  р-р д в/в 100мг/мл 5мл №5
КОНВУЛЕКС  р-р д в/в 100мг/мл 5мл №5
КОНКОР  таб. п/обол.  5мг № 50
КОНКОР  таб. п/обол.  5мг № 50
КОНКОР  таб. п/обол.  5мг № 50
КОНКОР  таб. п/обол. 10мг № 50
КОНКОР  таб. п/обол. 10мг № 50
КОНКОР АМ  таб. 5мг + 5мг №30
КОНКОР КОР  таб. п/обол.  2.5мг №30
КОНКОР КОР  таб. п/обол.  2.5мг №30
КОНКОР КОР  таб. п/обол.  2.5мг №30
КОРАКСАН  таб.  5мг №56
КОРВАЛОЛ  фл.-кап. 25мл
КОРГЛИКАРД  р-р в/в 6мг/мл 1мл №10
КОРГЛИКАРД  р-р в/в 6мг/мл 1мл №10
КОРДАРОН  р-р д/ин 150мг/3млN6
КОРДАРОН  таб. 200мг №30
КОРДАРОН  таб. 200мг №30
КОРДАРОН  таб. 200мг №30
КОРДАФЛЕКС  таб. п/обол. 10мг №100
КОРДАФЛЕКС  таб. ретард. п/обол. 20мг №60
КОРДАФЛЕКС  таб. ретард. п/обол. 20мг №60
КОРДИАМИН  амп. 25% 1мл №10
КОРДИАМИН  амп. 25% 2мл №10
КОРИНФАР  таб. п/обол. 10мг №100
КОРИНФАР  таб. п/обол. 10мг №100
КОРИНФАР РЕТАРД  таб. п/обол. 20мг № 30
